,word,values_
5,bayeux,"[-0.19878    0.45292    0.066349   0.013439   0.27879   -0.30462
 -0.52471    0.066035   0.13133   -0.012591   0.066493   0.2369
 -0.76623    0.31351    0.016872  -0.27899    0.28174    0.036595
  0.88988    0.035101  -0.32407   -0.74256    0.23461    0.53286
  0.56569   -1.149      0.21409    0.51924    0.47654   -0.97213
 -0.2646    -1.4681     0.60478   -0.17078    0.25898    0.042801
 -0.25533    0.22389    0.3036     1.2513    -0.6868    -0.097405
 -0.35076   -0.041216  -0.74303    0.45811    0.41203    0.07842
 -0.41862    0.23644   -0.77572    0.56311   -0.56166   -0.060173
 -1.4894     0.45546   -1.0306    -0.51307   -0.62962   -1.2166
  0.0062858  0.3067     0.077465  -0.99979   -0.18977   -0.68563
 -0.32937   -0.25127   -0.33633    0.35248   -0.48858    0.026083
  0.27089   -0.37195   -0.62912   -0.077253   0.75894    0.085791
  0.1867     0.68585   -0.44875    0.27367   -0.29929    0.9938
 -0.19268   -0.076653  -0.019802  -0.83602    0.26127   -1.0323
 -0.22394   -0.44828    0.93872    0.46394    0.042944   0.33534
  0.51462   -0.43512   -0.12213    0.45029  ]"
6,pippa,"[ 2.3859e-01 -1.9258e-01  9.7296e-02 -2.8235e-01  2.7848e-01 -2.8183e-04
  3.4412e-02  3.6732e-01  8.3938e-01 -9.0922e-01  8.4635e-03  4.4964e-01
  5.9919e-01  7.1485e-01 -1.2793e-01 -2.4479e-01 -4.3684e-02 -2.3350e-01
 -9.6917e-02  5.2312e-01  6.1258e-02 -4.7001e-01  2.3892e-01  1.0864e-01
  7.0733e-01  4.8971e-01 -5.9194e-01 -2.6715e-01  5.1846e-02  1.3083e-01
 -4.0905e-01  2.9500e-01  1.5009e-02 -3.1152e-01  1.7746e-01  3.8343e-02
 -3.0566e-02  2.8060e-01  5.7951e-02  3.7368e-01 -7.9521e-01 -9.6450e-03
 -2.3502e-01  7.3561e-01 -2.8858e-01  1.8543e-02 -6.9378e-01  1.4778e-01
  4.0509e-01  3.1852e-01  2.1918e-01  2.0035e-01  1.0205e-01 -4.3153e-01
  5.4649e-01 -9.2624e-02  9.3254e-01 -6.6593e-01 -9.7192e-01 -4.6702e-01
 -7.5002e-01 -3.9705e-01  4.5934e-01  8.6669e-01 -1.5844e-01 -4.7104e-02
  9.0661e-01 -2.1149e-01  4.5898e-01 -1.1536e-01  3.3158e-01  1.6805e-01
 -4.1363e-01  3.6235e-02  5.5472e-01  7.1970e-01  7.1052e-01  2.1777e-01
  3.8355e-01 -2.9341e-01 -4.6734e-01  7.8927e-01  7.9104e-01 -2.0700e-01
  5.8434e-01 -2.4331e-01  1.5411e-01 -8.4588e-03  2.5559e-01 -2.1456e-01
 -4.9072e-01  3.2046e-01  3.0007e-01 -7.1471e-02 -1.2436e-01 -2.7989e-01
 -2.2962e-01 -3.8241e-02 -1.0282e+00 -4.0452e-01]"
7,at-grade,"[ 0.33137   -0.0024225  0.47995    1.4156     0.40338   -0.10322
 -0.90775    0.42914    1.1573     0.15114    0.10347    0.35899
  0.73669   -0.74174    1.0756    -0.48347    0.40058   -0.35116
  1.2875    -0.73277    1.0428    -0.40284   -0.77995   -0.94234
  0.34534   -0.40276    0.33493    0.2455     0.44823    0.629
 -0.54119    0.12271    0.26397    0.058375   0.41031   -0.68972
 -0.027267  -0.85374    0.71588    0.7992     0.82584   -0.23741
 -0.57985    0.57411    0.36913    0.54505    0.4632    -0.077019
 -0.12441    0.53136    0.60255   -0.57339    0.081885   0.069186
  0.45876   -0.33885   -0.34199   -0.22976   -0.023645   0.76932
 -0.68981   -0.41519    1.0635     0.21628   -0.094389  -0.53092
  0.88045   -0.13153   -0.45702    0.25799   -0.57884   -0.61432
  0.28838   -0.48337    0.33646   -0.36941   -0.082282  -0.11367
  0.3852    -1.4955     0.4976    -0.76234    0.0052737  1.1014
  0.27202    0.86717   -0.16666    0.20104   -0.057535   0.50633
 -0.98178    0.24793   -1.8487     0.2215    -0.6727     0.21958
  0.13279   -0.29349    0.51033    0.23827  ]"
8,onda,"[ 0.41199   -1.1611     0.33106    0.58935   -0.61951   -0.033997
  0.51191    0.45454    0.33577    0.56438    0.41817    0.35878
 -0.50664    0.37286   -0.33491   -0.34068   -0.54373    0.010062
  0.25387   -0.19228    0.26165    0.13247   -0.90679   -0.061602
  0.3007    -0.26021    0.4594     0.63036    0.43901   -0.21477
 -0.47927    0.57457   -0.29211    1.9979     0.82178    0.33115
  0.15782   -0.27048    0.69353    0.16965    0.29492    0.27434
 -0.45005    0.6908    -0.43432   -0.48867    0.99568   -0.12205
 -0.31938    1.292     -0.48651    0.80779   -0.044808  -0.51826
 -0.19026   -0.15776    0.21466    0.13673   -0.44284    0.71494
  0.40971   -0.68912   -0.18176    0.17173   -0.061896   0.51479
 -0.080753  -0.013096  -0.060961   0.18811    0.39751    0.44444
  0.045782   0.39156    0.025461   0.91377    0.26277    0.52703
 -0.056717  -0.89322    0.13091   -0.36862   -0.18046    0.11986
  0.21776   -0.13332   -0.80636    1.1564    -0.10633   -0.051153
  0.10099    0.39148    0.6092     0.14173   -0.37121   -0.23053
  0.14277   -0.27667    0.40266    0.0068386]"
9,sorel,"[-2.1330e-01 -5.9932e-01 -1.3125e+00  7.8480e-01  6.9862e-02 -7.8099e-01
 -1.8904e-01 -3.5474e-01  1.1179e-01  2.8529e-02  1.4268e-01  9.7300e-02
 -5.1195e-01  2.0631e-01  6.2868e-01 -1.4008e-01 -4.4050e-01 -5.5448e-01
  4.4017e-01  9.7701e-01  2.2333e-01 -1.2708e-01  1.4112e-01  5.1086e-01
  5.1900e-01 -1.5128e-01 -4.0520e-01 -7.1119e-01  2.6685e-01 -3.3563e-02
  3.5057e-02 -1.6871e-01  2.4270e-01  1.5754e-01 -7.1370e-01  7.6367e-02
  2.1443e-01  4.3951e-01 -5.5694e-01 -8.3115e-01  2.4648e-01  7.2874e-02
 -5.2826e-01 -3.3606e-01 -2.4635e-01  5.4513e-01  4.0562e-01  3.5333e-01
  2.2034e-01  5.9079e-01  1.1345e-02  6.4001e-01 -6.7282e-02  1.0722e-01
 -7.0940e-01  5.8277e-01  7.0383e-01 -2.0456e-01 -3.1124e-01  1.8013e-01
  5.7085e-01  1.6402e-01 -1.6632e-01  2.7237e-01 -2.0878e-01  4.1455e-02
 -7.2011e-03 -2.2052e-01 -1.4698e-01  4.8838e-04  4.6117e-01 -7.4597e-01
 -1.0906e-01  3.4903e-01 -9.5626e-02  3.3731e-01  2.2803e-01  2.5482e-01
 -3.1060e-01  3.6637e-01 -9.8332e-01 -1.3901e-01  1.4884e-01 -3.1454e-01
  7.4804e-01 -1.0002e+00  9.3465e-03 -6.7928e-03 -4.9941e-02 -2.6721e-01
 -6.1941e-02 -6.1650e-01  7.9072e-01  2.3648e-01  8.6904e-02  2.1569e-01
 -1.6404e-01  6.5522e-02 -1.2111e-01 -5.9879e-02]"
10,asea,"[ 0.10892  -0.13857  -0.42169  -0.27791  -0.49227  -0.40055   0.30806
 -0.2161   -1.2774    0.47033  -0.29235  -0.52992   0.78233   0.84981
  0.041114  0.020363  0.10245  -1.3229    0.59976   0.43825  -0.83468
  0.57604  -0.01606  -0.075097  0.31243  -0.61666   0.63327   1.068
  0.033952 -0.4183   -0.082329  0.7204   -0.51072  -0.2622   -0.54696
 -0.7271    0.26543   1.0785   -0.59454  -0.63047   0.42241  -0.44926
 -0.89749   0.22687  -1.2887    1.0745    0.26701   1.2591    0.07077
 -0.29011   0.70746  -0.12749   1.1133   -0.085833 -0.45488  -0.17265
  0.3092    0.51764   0.21635  -0.18353   1.0943   -1.3713    0.058921
  0.78079  -0.049959  0.25721   0.090388  0.77675  -0.21     -0.29837
  0.23416  -0.19713  -1.1611   -0.067873 -0.032661  0.4157    1.0909
 -0.44896   0.78707   0.89706   0.64541  -0.19057   0.52031   0.96532
  0.50698  -0.10021   0.90771  -0.489     0.17785   0.86993  -0.41371
 -0.82046  -0.93916   0.066134  0.43579   0.38689  -0.96738   0.077602
 -0.3933   -0.76358 ]"
11,6.51,"[ 0.93962    0.22204    0.49202    0.50021   -0.28018   -0.019362
 -0.01497   -0.0028114  0.2081    -0.27157    0.28802    0.89653
 -1.442      0.22061    0.39021    0.052567  -0.54093   -0.37424
  0.058184   0.20706    0.01204    0.51203   -0.014688   0.77011
  0.92697   -0.34788    0.55849    0.16656   -0.2177    -0.28902
 -0.11602   -0.66455   -0.047693  -0.13373   -0.2472     0.72911
 -0.13847   -0.37373   -0.1669     0.22667    0.023744   0.18394
 -0.51007    0.28347   -0.78201    0.26813   -0.26707    0.033464
 -0.43692   -1.1305     0.090802  -0.24127    0.65948    0.23814
 -0.21937    0.38368   -0.2223     0.097182  -0.1216    -0.64702
 -0.081683  -1.0475     0.35159    0.20788   -0.83608   -0.05049
 -0.39074    0.14248   -0.059035   0.33318   -0.58166    0.21981
 -0.1293     0.49581   -0.71332    0.45909   -0.45186   -0.08258
 -0.13591    0.059408  -0.68322    0.57843   -0.58882   -0.35501
  0.50528    0.97821    0.47558    0.497      0.23563    0.1958
 -0.058567   0.76287   -0.18436   -0.22007   -0.36974    0.044564
 -0.46493   -0.22991   -0.43432   -0.21605  ]"
12,beeline,"[-0.15762   -0.57073   -0.082266   0.1183     0.64556   -0.14462
 -0.074295   0.34921    0.029917   0.25851   -0.26961    0.14574
 -0.023075   0.18255    0.51426   -0.0030635  0.64697    0.69102
  0.67839    0.10861    0.071452   0.86868   -0.42343    0.47964
 -0.14221    0.056539   0.01681    0.24424    0.5214    -0.25855
 -0.43861    0.63193    0.60289    0.078544   0.4227     0.53746
  0.037816  -0.2129     0.43559   -0.093116  -0.025518   0.6789
  0.20678   -0.0057334 -0.14116    0.29996    0.31658    0.93831
 -0.66009    0.16099   -0.4148     0.20458    0.45645   -0.34776
 -0.67866    0.3682     0.62705    0.13273    0.068903  -1.2048
 -0.57471   -0.15981    0.11545    0.5865    -0.64278   -0.14689
  0.34676    0.35444   -0.61654   -0.66433    0.1017    -0.2199
  0.55165   -0.098627   0.060396   0.20341    0.11624    0.6974
  0.30526   -0.29378   -0.14474    0.33859   -0.046192   0.12024
  0.008687   0.21469    0.26893   -0.056356  -0.55728    0.027609
  0.55528    0.4442    -0.52429   -0.85417    0.11555   -0.19988
  0.5535     0.79679    0.19797    0.31743  ]"
13,aleksandrovich,"[-0.16119    0.083441  -0.29491   -0.50173    0.6204     0.22618
  0.14156   -0.38604    0.61966    0.2249    -0.0015958  0.5238
 -0.35923   -0.067176  -0.36134    0.35805   -0.26555    1.389
 -0.31502   -0.55838   -0.68451   -0.45863   -0.1727     1.2186
 -0.092083   0.93427   -0.41106    0.3152     1.1288     0.90333
  0.59992    0.48229   -0.32623   -0.68802   -0.028988  -0.13672
  0.27089   -0.47538    0.91003    0.58389    1.2285     0.49409
 -0.059497   0.051405   0.49125   -0.75819   -0.11484   -0.57919
  0.0032694  0.6072     0.95881   -0.25112   -0.4355     0.01405
 -0.68812    0.29811    0.27031    0.62729   -0.17247   -0.28657
  0.43718    0.021062  -0.34719    0.074088  -0.64063    0.74751
 -0.0016848 -1.277     -0.91485    0.52664   -0.81756    0.044142
 -0.0083271  1.1134     0.40486   -0.49082   -0.24007   -0.19822
  0.51156    0.29566   -0.131      0.053912  -0.062519  -0.83329
  0.75107    0.86833   -0.9177    -0.50163    0.46355   -0.97659
 -0.15849    0.3677    -0.22513    0.22359   -0.39471    0.40617
 -0.56539   -0.33046   -1.3461    -0.73781  ]"
14,edgerrin,"[-0.14072   -0.10121    0.63464   -1.6979     0.43222    0.78725
  0.18382   -0.2493    -0.42353   -0.94611    0.27858    0.30278
 -0.61608   -0.64324    0.097579  -0.5858    -0.49166    1.1444
  0.09343   -0.36657    0.60686   -0.096508  -0.28307   -0.28737
  0.51009   -0.15154   -1.1599    -0.92059    0.21305    0.4365
  0.021862   0.11172    0.13205   -0.19338   -0.12148   -0.14331
 -1.2626     0.60613   -0.040052   0.55471    0.39854    0.12415
  0.48997   -0.61793   -0.29382   -0.074594  -0.29292   -0.72418
 -0.059601  -0.25411    0.13218    0.59993    0.18191    0.0090523
  0.34577    0.42152    0.1432    -0.20648   -1.6744    -0.63455
 -0.79417   -0.44071    0.55591    0.26207    0.63385   -0.34338
  0.19513   -0.50611   -0.45085    0.71788    0.25071    0.35507
  0.34382   -0.36296   -0.27844   -0.96969    0.54225    1.0361
  0.61406   -0.84744    1.1479     1.5543     0.2263     0.85207
  0.15863    0.98521    0.79304   -1.2219    -0.49405   -0.18992
 -0.41744    0.54689   -1.0684     0.0055168 -0.3207    -0.058252
  0.98636   -0.002497  -0.17912   -0.15222  ]"
